playerID,yearID,stint,teamID,lgID,G,AB,R,H,B,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,BA,SLG,OBP,OPS
biggica01,2019,1,TOR,AL,100,354,66,83,48,17,2,16,48.0,14.0,0.0,71,123.0,0.0,2.0,0.0,2.0,0.0,0.2344632768361582,0.4293785310734463,0.36363636363636365,0.7930148947098099
bogaexa01,2019,1,BOS,AL,155,614,110,190,105,52,0,33,117.0,4.0,2.0,76,122.0,2.0,2.0,0.0,6.0,11.0,0.30944625407166126,0.5553745928338762,0.3839541547277937,0.93932874756167
bourju01,2019,1,LAA,AL,52,151,18,26,13,5,0,8,26.0,0.0,0.0,17,52.0,0.0,1.0,0.0,1.0,7.0,0.17218543046357615,0.36423841059602646,0.25882352941176473,0.6230619400077912
bradlja02,2019,1,BOS,AL,147,494,69,111,59,28,3,21,62.0,8.0,6.0,56,155.0,3.0,12.0,3.0,2.0,6.0,0.22469635627530365,0.42105263157894735,0.3173758865248227,0.73842851810377
brantmi02,2019,1,HOU,AL,148,575,88,179,115,40,2,22,90.0,3.0,2.0,51,66.0,3.0,7.0,0.0,4.0,21.0,0.31130434782608696,0.5026086956521739,0.37205651491365777,0.8746652105658317
bregmal01,2019,1,HOU,AL,156,554,122,164,84,37,2,41,112.0,5.0,1.0,119,83.0,2.0,9.0,0.0,8.0,9.0,0.296028880866426,0.592057761732852,0.42318840579710143,1.0152461675299533
brossmi01,2019,1,TBA,AL,51,132,17,36,23,7,0,6,16.0,1.0,0.0,7,39.0,0.0,2.0,1.0,0.0,3.0,0.2727272727272727,0.4621212121212121,0.3191489361702128,0.7812701482914248
bruceja01,2019,1,SEA,AL,47,165,27,35,10,11,0,14,28.0,1.0,0.0,16,53.0,0.0,1.0,0.0,2.0,1.0,0.21212121212121213,0.5333333333333333,0.2826086956521739,0.8159420289855073
buxtoby01,2019,1,MIN,AL,87,271,48,71,27,30,4,10,46.0,14.0,3.0,19,68.0,1.0,2.0,2.0,1.0,3.0,0.26199261992619927,0.5129151291512916,0.31399317406143346,0.826908303212725
cabreas01,2019,1,TEX,AL,93,323,45,76,49,15,0,12,51.0,4.0,0.0,38,85.0,1.0,3.0,0.0,4.0,6.0,0.23529411764705882,0.3931888544891641,0.3179347826086957,0.7111236370978598
cabremi01,2019,1,DET,AL,136,493,41,139,106,21,0,12,59.0,0.0,0.0,48,108.0,4.0,3.0,0.0,5.0,18.0,0.281947261663286,0.3975659229208925,0.3460837887067395,0.7436497116276319
calhoko01,2019,1,LAA,AL,152,552,92,128,65,29,1,33,74.0,4.0,1.0,70,162.0,7.0,7.0,0.0,2.0,14.0,0.2318840579710145,0.4673913043478261,0.3248811410459588,0.7922724453937848
calhowi01,2019,1,TEX,AL,83,309,51,83,47,14,1,21,48.0,0.0,0.0,23,53.0,0.0,3.0,0.0,2.0,5.0,0.2686084142394822,0.5242718446601942,0.32344213649851633,0.8477139811587104
candeje01,2019,1,DET,AL,94,335,33,68,41,17,2,8,32.0,3.0,1.0,43,99.0,1.0,7.0,0.0,1.0,3.0,0.20298507462686566,0.3373134328358209,0.30569948186528495,0.6430129147011059
canhama01,2019,1,OAK,AL,126,410,80,112,67,16,3,26,58.0,3.0,2.0,67,107.0,1.0,18.0,0.0,2.0,10.0,0.2731707317073171,0.5170731707317073,0.3963782696177062,0.9134514403494136
casteni01,2019,1,DET,AL,100,403,57,110,59,37,3,11,37.0,2.0,1.0,31,96.0,1.0,3.0,0.0,2.0,7.0,0.2729528535980149,0.46153846153846156,0.32801822323462415,0.7895566847730857
castiwe01,2019,1,CHA,AL,72,230,19,48,24,12,0,12,41.0,0.0,0.0,16,74.0,0.0,3.0,0.0,2.0,8.0,0.20869565217391303,0.41739130434782606,0.26693227091633465,0.6843235752641608
castrha01,2019,1,DET,AL,97,354,30,103,84,10,4,5,38.0,4.0,2.0,9,86.0,0.0,0.0,2.0,4.0,6.0,0.2909604519774011,0.384180790960452,0.30517711171662126,0.6893579026770733
castrja01,2019,1,MIN,AL,79,237,39,55,33,9,0,13,30.0,0.0,0.0,33,88.0,0.0,3.0,1.0,1.0,0.0,0.2320675105485232,0.4345991561181435,0.33211678832116787,0.7667159444393113
caveja01,2019,1,MIN,AL,72,198,28,51,30,11,2,8,25.0,0.0,0.0,21,71.0,0.0,8.0,0.0,1.0,5.0,0.25757575757575757,0.45454545454545453,0.3508771929824561,0.8054226475279107
chapmma01,2019,1,OAK,AL,156,583,102,145,70,36,3,36,91.0,1.0,1.0,73,147.0,0.0,11.0,0.0,3.0,12.0,0.24871355060034306,0.5060034305317325,0.3417910447761194,0.8477944753078519
chavimi01,2019,1,BOS,AL,95,347,46,88,59,10,1,18,58.0,2.0,1.0,31,127.0,2.0,4.0,0.0,0.0,11.0,0.25360230547550433,0.4438040345821326,0.3219895287958115,0.765793563377944
chiriro01,2019,1,HOU,AL,114,366,57,87,47,22,1,17,58.0,1.0,2.0,51,125.0,1.0,13.0,2.0,5.0,11.0,0.23770491803278687,0.4426229508196721,0.3471264367816092,0.7897493876012813
choiji01,2019,1,TBA,AL,127,410,54,107,66,20,2,19,63.0,2.0,3.0,64,108.0,2.0,6.0,0.0,7.0,7.0,0.26097560975609757,0.4585365853658537,0.36344969199178645,0.8219862773576401
choosh01,2019,1,TEX,AL,151,563,93,149,92,31,2,24,61.0,15.0,1.0,78,165.0,3.0,18.0,0.0,1.0,6.0,0.26465364120781526,0.4547069271758437,0.3712121212121212,0.8259190483879649
cordery01,2019,1,CHA,AL,97,217,22,48,33,8,0,7,24.0,3.0,1.0,19,69.0,0.0,3.0,6.0,2.0,2.0,0.22119815668202766,0.3548387096774194,0.29045643153526973,0.645295141212689
correca01,2019,1,HOU,AL,75,280,42,78,40,16,1,21,59.0,1.0,0.0,35,75.0,0.0,2.0,0.0,4.0,8.0,0.2785714285714286,0.5678571428571428,0.3582554517133956,0.9261125945705384
crawfjp01,2019,1,SEA,AL,93,345,43,78,46,21,4,7,46.0,5.0,3.0,43,83.0,0.0,2.0,3.0,3.0,4.0,0.22608695652173913,0.3710144927536232,0.31297709923664124,0.6839915919902644
croncj01,2019,1,MIN,AL,125,458,51,116,67,24,0,25,78.0,0.0,0.0,29,107.0,3.0,10.0,0.0,2.0,13.0,0.25327510917030566,0.46943231441048033,0.3106212424849699,0.7800535568954503
cruzne02,2019,1,MIN,AL,120,454,81,141,74,26,0,41,108.0,0.0,1.0,56,131.0,8.0,7.0,0.0,3.0,14.0,0.31057268722466963,0.6387665198237885,0.3923076923076923,1.0310742121314809
cuthbch01,2019,1,KCA,AL,87,309,24,76,53,14,0,9,40.0,1.0,0.0,19,67.0,1.0,2.0,0.0,0.0,14.0,0.2459546925566343,0.3786407766990291,0.29393939393939394,0.6725801706384231
darnatr01,2019,3,TBA,AL,92,327,50,86,54,16,0,16,67.0,0.0,1.0,30,80.0,0.0,2.0,0.0,6.0,3.0,0.26299694189602446,0.45871559633027525,0.3232876712328767,0.782003267563152
davisch02,2019,1,BAL,AL,105,307,26,55,34,9,0,12,36.0,0.0,0.0,39,139.0,1.0,3.0,0.0,3.0,6.0,0.1791530944625407,0.3257328990228013,0.2755681818181818,0.6013010808409831
daviskh01,2019,1,OAK,AL,133,481,61,106,72,11,0,23,73.0,0.0,0.0,47,146.0,3.0,3.0,0.0,2.0,11.0,0.2203742203742204,0.3866943866943867,0.2926829268292683,0.6793773135236549
demertr01,2019,1,DET,AL,48,169,24,38,26,7,2,3,10.0,3.0,0.0,14,63.0,0.0,1.0,1.0,1.0,3.0,0.22485207100591717,0.3431952662721893,0.2864864864864865,0.6296817527586758
deshide02,2019,1,TEX,AL,118,357,42,89,66,15,4,4,32.0,24.0,6.0,38,100.0,0.0,3.0,8.0,2.0,8.0,0.24929971988795518,0.3473389355742297,0.325,0.6723389355742297
deverra01,2019,1,BOS,AL,156,647,129,201,111,54,4,32,115.0,8.0,8.0,48,119.0,7.0,4.0,1.0,2.0,8.0,0.3106646058732612,0.5548686244204019,0.3609129814550642,0.915781605875466
diazal02,2019,1,HOU,AL,69,210,36,57,35,12,1,9,40.0,2.0,0.0,26,28.0,1.0,5.0,0.0,6.0,10.0,0.2714285714285714,0.4666666666666667,0.3562753036437247,0.8229419703103913
diazya01,2019,1,TBA,AL,79,307,53,82,47,20,1,14,38.0,2.0,2.0,35,61.0,1.0,1.0,0.0,4.0,9.0,0.2671009771986971,0.4755700325732899,0.3400576368876081,0.8156276694608979
dixonbr01,2019,1,DET,AL,118,391,41,97,58,20,4,15,52.0,5.0,1.0,21,136.0,0.0,4.0,0.0,4.0,5.0,0.24808184143222506,0.43478260869565216,0.2904761904761905,0.7252587991718427
doziehu01,2019,1,KCA,AL,139,523,75,146,81,29,10,26,84.0,2.0,2.0,55,148.0,2.0,3.0,0.0,5.0,9.0,0.27915869980879543,0.5219885277246654,0.34812286689419797,0.8701113946188634
drurybr01,2019,1,TOR,AL,120,418,43,91,54,21,1,15,41.0,0.0,1.0,25,113.0,0.0,1.0,0.0,3.0,6.0,0.21770334928229665,0.3803827751196172,0.26174496644295303,0.6421277415625702
duffyma01,2019,1,TBA,AL,46,147,12,37,28,8,0,1,12.0,0.0,1.0,19,29.0,0.0,2.0,0.0,1.0,4.0,0.25170068027210885,0.32653061224489793,0.3431952662721893,0.6697258785170872
encared01,2019,1,SEA,AL,65,241,48,58,30,7,0,21,49.0,0.0,1.0,41,55.0,0.0,4.0,0.0,3.0,3.0,0.24066390041493776,0.5311203319502075,0.356401384083045,0.8875217160332525
